value	lower	upper	time
594936	270734	1483450	68136.2725450902
593871	270346	1484770	69138.2765531062
592612	269732	1483960	70140.2805611222
590825	269568	1478790	71142.2845691383
589923	269476	1474560	72144.2885771543
587498	269683	1471570	73146.2925851703
585788	269671	1471570	74148.2965931864
584792	269456	1465380	75150.3006012024
584446	269103	1460510	76152.3046092184
583361	268825	1455030	77154.3086172345
582735	268470	1450310	78156.3126252505
581222	267427	1457140	79158.3166332665
580281	266733	1450140	80160.3206412826
579164	266733	1443930	81162.3246492986
578019	267427	1438760	82164.3286573146
576704	267409	1425750	83166.3326653307
575317	266733	1420050	84168.3366733467
573747	266548	1415190	85170.3406813627
572178	266098	1409280	86172.3446893788
571367	265938	1403510	87174.3486973948
570037	265896	1396430	88176.3527054108
569282	265424	1388250	89178.3567134269
568793	265228	1380530	90180.3607214429
568108	265228	1377200	91182.3647294589
567015	265136	1374540	92184.368737475
566675	265136	1358490	93186.372745491
565699	265136	1352760	94188.376753507
565128	264973	1345780	95190.380761523
564719	264641	1342830	96192.3847695391
564224	264641	1339630	97194.3887775551
563862	264571	1338170	98196.3927855712
563582	264431	1338370	99198.3967935872
563270	264431	1337000	100200.400801603
562927	264421	1335640	101202.404809619
562516	264421	1328910	102204.408817635
562323	264421	1327300	103206.412825651
562237	264421	1323570	104208.416833667
562006	264295	1321350	105210.420841683
561947	264295	1318240	106212.424849699
561829	264295	1315760	107214.428857715
561699	264295	1315720	108216.432865731
561653	264284	1313280	109218.436873748
561603	264284	1311360	110220.440881764
561255	264152	1310180	111222.44488978
561145	264132	1309110	112224.448897796
561117	263781	1305330	113226.452905812
561024	263781	1305330	114228.456913828
561044	263611	1305290	115230.460921844
560882	263561	1305060	116232.46492986
560818	263208	1305060	117234.468937876
560870	262695	1304770	118236.472945892
560818	262034	1304770	119238.476953908
560812	261348	1304020	120240.480961924
560751	261197	1303560	121242.48496994
560713	259775	1302820	122244.488977956
560665	258244	1303560	123246.492985972
560629	256985	1303560	124248.496993988
560466	255500	1303560	125250.501002004
560363	253785	1302820	126252.50501002
560357	251771	1302820	127254.509018036
560240	249702	1302820	128256.513026052
560148	247822	1301820	129258.517034068
560072	245503	1301820	130260.521042084
559802	238888	1301160	131262.5250501
559681	235213	1301160	132264.529058116
559430	231992	1301160	133266.533066132
559110	224169	1301100	134268.537074148
559083	220054	1301100	135270.541082164
558769	206492	1300740	136272.54509018
558372	189627	1299650	137274.549098196
557903	171468	1299010	138276.553106212
557654	151805	1299010	139278.557114228
557378	138150	1299010	140280.561122244
557089	126371	1299010	141282.565130261
556629	120475	1299010	142284.569138277
556367	111714	1299000	143286.573146293
555498	105449	1299000	144288.577154309
554758	99823.1	1299000	145290.581162325
554111	95397.4	1299000	146292.585170341
553227	92364.5	1298550	147294.589178357
552506	90182.6	1298550	148296.593186373
551320	86724.2	1297560	149298.597194389
550131	84307.9	1297560	150300.601202405
