value	lower	upper	time
556109.7	346667	897382.6	0
556109.7	346667	897382.6	1002.00400801603
556109.7	346667	897382.6	2004.00801603206
556109.7	346667	897382.6	3006.0120240481
556109.7	346667	897382.6	4008.01603206413
556109.7	346667	897382.6	5010.02004008016
556109.7	346667	897382.6	6012.02404809619
556109.7	346667	897382.6	7014.02805611222
556109.7	346667	897382.6	8016.03206412826
556109.7	346667	897382.6	9018.03607214429
556109.7	346667	897382.6	10020.0400801603
556109.7	346667	897382.6	11022.0440881764
556109.7	346667	897382.6	12024.0480961924
556109.7	346667	897382.6	13026.0521042084
556109.7	346667	897382.6	14028.0561122244
556109.7	346667	897382.6	15030.0601202405
556109.7	346667	897382.6	16032.0641282565
556109.7	346667	897382.6	17034.0681362725
556109.7	346667	897382.6	18036.0721442886
556109.7	346667	897382.6	19038.0761523046
556109.7	346667	897382.6	20040.0801603206
556109.7	346667	897382.6	21042.0841683367
556109.7	346667	897382.6	22044.0881763527
556109.7	346667	897382.6	23046.0921843687
556109.7	346667	897382.6	24048.0961923848
556109.7	346667	897382.6	25050.1002004008
556109.7	346667	897382.6	26052.1042084168
556109.7	346667	897382.6	27054.1082164329
556109.7	346667	897382.6	28056.1122244489
556109.7	346667	897382.6	29058.1162324649
556109.7	346667	897382.6	30060.120240481
556109.7	346667	897382.6	31062.124248497
556109.7	346667	897382.6	32064.128256513
556109.7	346667	897382.6	33066.1322645291
556109.7	346667	897382.6	34068.1362725451
556109.7	346667	897382.6	35070.1402805611
556109.7	346667	897382.6	36072.1442885772
556109.7	346667	897382.6	37074.1482965932
556109.7	346667	897382.6	38076.1523046092
556109.7	346667	897382.6	39078.1563126253
556109.7	346667	897382.6	40080.1603206413
556109.7	346667	897382.6	41082.1643286573
556109.7	346667	897382.6	42084.1683366733
556109.7	346667	897382.6	43086.1723446894
556109.7	346667	897382.6	44088.1763527054
556109.7	346667	897382.6	45090.1803607214
556109.7	346667	897382.6	46092.1843687375
556109.7	346667	897382.6	47094.1883767535
556109.7	346667	897382.6	48096.1923847695
556109.7	346667	897382.6	49098.1963927856
556109.7	346667	897382.6	50100.2004008016
556109.7	346667	897382.6	51102.2044088176
556109.7	346667	897382.6	52104.2084168337
556109.7	346667	897382.6	53106.2124248497
556109.7	346667	897382.6	54108.2164328657
556109.7	346667	897382.6	55110.2204408818
556109.7	346667	897382.6	56112.2244488978
556109.7	346667	897382.6	57114.2284569138
556109.7	346667	897382.6	58116.2324649299
556109.7	346667	897382.6	59118.2364729459
556109.7	346667	897382.6	60120.2404809619
556109.7	346667	897382.6	61122.244488978
556109.7	346667	897382.6	62124.248496994
556109.7	346667	897382.6	63126.25250501
556109.7	346667	897382.6	64128.2565130261
556109.7	346667	897382.6	65130.2605210421
556109.7	346667	897382.6	66132.2645290581
556109.7	346667	897382.6	67134.2685370742
556109.7	346667	897382.6	68136.2725450902
556109.7	346667	897382.6	69138.2765531062
556109.7	346667	897382.6	70140.2805611222
556109.7	346667	897382.6	71142.2845691383
556109.7	346667	897382.6	72144.2885771543
556109.7	346667	897382.6	73146.2925851703
556109.7	346667	897382.6	74148.2965931864
556109.7	346667	897382.6	75150.3006012024
556109.7	346667	897382.6	76152.3046092184
556109.7	346667	897382.6	77154.3086172345
556109.7	346667	897382.6	78156.3126252505
556109.7	346667	897382.6	79158.3166332665
556109.7	346667	897382.6	80160.3206412826
556109.7	346667	897382.6	81162.3246492986
556109.7	346667	897382.6	82164.3286573146
556109.7	346667	897382.6	83166.3326653307
556109.7	346667	897382.6	84168.3366733467
556109.7	346667	897382.6	85170.3406813627
556109.7	346667	897382.6	86172.3446893788
556109.7	346667	897382.6	87174.3486973948
556109.7	346667	897382.6	88176.3527054108
556109.7	346667	897382.6	89178.3567134269
556109.7	346667	897382.6	90180.3607214429
556109.7	346667	897382.6	91182.3647294589
556109.7	346667	897382.6	92184.368737475
556109.7	346667	897382.6	93186.372745491
556109.7	346667	897382.6	94188.376753507
556109.7	346667	897382.6	95190.380761523
556109.7	346667	897382.6	96192.3847695391
556109.7	346667	897382.6	97194.3887775551
556109.7	346667	897382.6	98196.3927855712
556109.7	346667	897382.6	99198.3967935872
556109.7	346667	897382.6	100200.400801603
556109.7	346667	897382.6	101202.404809619
556109.7	346667	897382.6	102204.408817635
556109.7	346667	897382.6	103206.412825651
556109.7	346667	897382.6	104208.416833667
556109.7	346667	897382.6	105210.420841683
556109.7	346667	897382.6	106212.424849699
556109.7	346667	897382.6	107214.428857715
556109.7	346667	897382.6	108216.432865731
556109.7	346667	897382.6	109218.436873748
556109.7	346667	897382.6	110220.440881764
556109.7	346667	897382.6	111222.44488978
556109.7	346667	897382.6	112224.448897796
556109.7	346667	897382.6	113226.452905812
556109.7	346667	897382.6	114228.456913828
556109.7	346667	897382.6	115230.460921844
556109.7	346667	897382.6	116232.46492986
556109.7	346667	897382.6	117234.468937876
556109.7	346667	897382.6	118236.472945892
556109.7	346667	897382.6	119238.476953908
556109.7	346667	897382.6	120240.480961924
556109.7	346667	897382.6	121242.48496994
556109.7	346667	897382.6	122244.488977956
556109.7	346667	897382.6	123246.492985972
556109.7	346667	897382.6	124248.496993988
556109.7	346667	897382.6	125250.501002004
556109.7	346667	897382.6	126252.50501002
556109.7	346667	897382.6	127254.509018036
556109.7	346667	897382.6	128256.513026052
556109.7	346667	897382.6	129258.517034068
556109.7	346667	897382.6	130260.521042084
556109.7	346667	897382.6	131262.5250501
556109.7	346667	897382.6	132264.529058116
556109.7	346667	897382.6	133266.533066132
556109.7	346667	897382.6	134268.537074148
556109.7	346667	897382.6	135270.541082164
556109.7	346667	897382.6	136272.54509018
556109.7	346667	897382.6	137274.549098196
556109.7	346667	897382.6	138276.553106212
556109.7	346667	897382.6	139278.557114228
556109.7	346667	897382.6	140280.561122244
556109.7	346667	897382.6	141282.565130261
556109.7	346667	897382.6	142284.569138277
556109.7	346667	897382.6	143286.573146293
556109.7	346667	897382.6	144288.577154309
556109.7	346667	897382.6	145290.581162325
556109.7	346667	897382.6	146292.585170341
556109.7	346667	897382.6	147294.589178357
556109.7	346667	897382.6	148296.593186373
556109.7	346667	897382.6	149298.597194389
556109.7	346667	897382.6	150300.601202405
556109.7	346667	897382.6	151302.605210421
556109.7	346667	897382.6	152304.609218437
556109.7	346667	897382.6	153306.613226453
556109.7	346667	897382.6	154308.617234469
556109.7	346667	897382.6	155310.621242485
556109.7	346667	897382.6	156312.625250501
556109.7	346667	897382.6	157314.629258517
556109.7	346667	897382.6	158316.633266533
556109.7	346667	897382.6	159318.637274549
556109.7	346667	897382.6	160320.641282565
556109.7	346667	897382.6	161322.645290581
556109.7	346667	897382.6	162324.649298597
556109.7	346667	897382.6	163326.653306613
556109.7	346667	897382.6	164328.657314629
556109.7	346667	897382.6	165330.661322645
556109.7	346667	897382.6	166332.665330661
556109.7	346667	897382.6	167334.669338677
556109.7	346667	897382.6	168336.673346693
556109.7	346667	897382.6	169338.677354709
556109.7	346667	897382.6	170340.681362725
556109.7	346667	897382.6	171342.685370741
556109.7	346667	897382.6	172344.689378758
556109.7	346667	897382.6	173346.693386774
556109.7	346667	897382.6	174348.69739479
556109.7	346667	897382.6	175350.701402806
556109.7	346667	897382.6	176352.705410822
556109.7	346667	897382.6	177354.709418838
556109.7	346667	897382.6	178356.713426854
556109.7	346667	897382.6	179358.71743487
556109.7	346667	897382.6	180360.721442886
556109.7	346667	897382.6	181362.725450902
556109.7	346667	897382.6	182364.729458918
556109.7	346667	897382.6	183366.733466934
556109.7	346667	897382.6	184368.73747495
556109.7	346667	897382.6	185370.741482966
556109.7	346667	897382.6	186372.745490982
556109.7	346667	897382.6	187374.749498998
556109.7	346667	897382.6	188376.753507014
556109.7	346667	897382.6	189378.75751503
556109.7	346667	897382.6	190380.761523046
556109.7	346667	897382.6	191382.765531062
556109.7	346667	897382.6	192384.769539078
556109.7	346667	897382.6	193386.773547094
556109.7	346667	897382.6	194388.77755511
556109.7	346667	897382.6	195390.781563126
556109.7	346667	897382.6	196392.785571142
556109.7	346667	897382.6	197394.789579158
556109.7	346667	897382.6	198396.793587174
556109.7	346667	897382.6	199398.79759519
556109.7	346667	897382.6	200400.801603206
556109.7	346667	897382.6	201402.805611222
556109.7	346667	897382.6	202404.809619238
556109.7	346667	897382.6	203406.813627255
556109.7	346667	897382.6	204408.817635271
556109.7	346667	897382.6	205410.821643287
556109.7	346667	897382.6	206412.825651303
556109.7	346667	897382.6	207414.829659319
556109.7	346667	897382.6	208416.833667335
556109.7	346667	897382.6	209418.837675351
556109.7	346667	897382.6	210420.841683367
556109.7	346667	897382.6	211422.845691383
556109.7	346667	897382.6	212424.849699399
556109.7	346667	897382.6	213426.853707415
556109.7	346667	897382.6	214428.857715431
556109.7	346667	897382.6	215430.861723447
556109.7	346667	897382.6	216432.865731463
556109.7	346667	897382.6	217434.869739479
556109.7	346667	897382.6	218436.873747495
556109.7	346667	897382.6	219438.877755511
556109.7	346667	897382.6	220440.881763527
556109.7	346667	897382.6	221442.885771543
556109.7	346667	897382.6	222444.889779559
556109.7	346667	897382.6	223446.893787575
556109.7	346667	897382.6	224448.897795591
556109.7	346667	897382.6	225450.901803607
556109.7	346667	897382.6	226452.905811623
556109.7	346667	897382.6	227454.909819639
556109.7	346667	897382.6	228456.913827655
556109.7	346667	897382.6	229458.917835671
556109.7	346667	897382.6	230460.921843687
556109.7	346667	897382.6	231462.925851703
556109.7	346667	897382.6	232464.929859719
556109.7	346667	897382.6	233466.933867735
556109.7	346667	897382.6	234468.937875752
556109.7	346667	897382.6	235470.941883768
556109.7	346667	897382.6	236472.945891784
556109.7	346667	897382.6	237474.9498998
556109.7	346667	897382.6	238476.953907816
556109.7	346667	897382.6	239478.957915832
556109.7	346667	897382.6	240480.961923848
556109.7	346667	897382.6	241482.965931864
556109.7	346667	897382.6	242484.96993988
556109.7	346667	897382.6	243486.973947896
556109.7	346667	897382.6	244488.977955912
556109.7	346667	897382.6	245490.981963928
556109.7	346667	897382.6	246492.985971944
556109.7	346667	897382.6	247494.98997996
556109.7	346667	897382.6	248496.993987976
556109.7	346667	897382.6	249498.997995992
556109.7	346667	897382.6	250501.002004008
556109.7	346667	897382.6	251503.006012024
556109.7	346667	897382.6	252505.01002004
556109.7	346667	897382.6	253507.014028056
556109.7	346667	897382.6	254509.018036072
556109.7	346667	897382.6	255511.022044088
556109.7	346667	897382.6	256513.026052104
556109.7	346667	897382.6	257515.03006012
556109.7	346667	897382.6	258517.034068136
556109.7	346667	897382.6	259519.038076152
556109.7	346667	897382.6	260521.042084168
556109.7	346667	897382.6	261523.046092184
556109.7	346667	897382.6	262525.0501002
556109.7	346667	897382.6	263527.054108216
556109.7	346667	897382.6	264529.058116232
556109.7	346667	897382.6	265531.062124249
556109.7	346667	897382.6	266533.066132265
556109.7	346667	897382.6	267535.070140281
556109.7	346667	897382.6	268537.074148297
556109.7	346667	897382.6	269539.078156313
556109.7	346667	897382.6	270541.082164329
556109.7	346667	897382.6	271543.086172345
556109.7	346667	897382.6	272545.090180361
556109.7	346667	897382.6	273547.094188377
556109.7	346667	897382.6	274549.098196393
556109.7	346667	897382.6	275551.102204409
556109.7	346667	897382.6	276553.106212425
556109.7	346667	897382.6	277555.110220441
556109.7	346667	897382.6	278557.114228457
556109.7	346667	897382.6	279559.118236473
556109.7	346667	897382.6	280561.122244489
556109.7	346667	897382.6	281563.126252505
556109.7	346667	897382.6	282565.130260521
