value	lower	upper	time
483520	87574.9	883867	275551.102204409
483520	87574.9	883867	276553.106212425
483520	87574.9	883867	277555.110220441
483520	87574.9	883867	278557.114228457
483520	87574.9	883867	279559.118236473
482581	83074.7	881254	280561.122244489
482581	83074.7	881254	281563.126252505
482581	83074.7	881254	282565.130260521
482581	83074.7	881254	283567.134268537
482581	83074.7	881254	284569.138276553
482581	83074.7	881254	285571.142284569
482581	83074.7	881254	286573.146292585
482581	83074.7	881254	287575.150300601
482581	83074.7	881254	288577.154308617
482581	83074.7	881254	289579.158316633
481209	80298	883397	290581.162324649
481209	80298	883397	291583.166332665
481209	80298	883397	292585.170340681
481209	80298	883397	293587.174348697
481209	80298	883397	294589.178356713
481209	80298	883397	295591.182364729
481209	80298	883397	296593.186372745
481209	80298	883397	297595.190380762
481209	80298	883397	298597.194388778
481209	80298	883397	299599.198396794
481027	76184	885556	300601.20240481
481027	76184	885556	301603.206412826
481027	76184	885556	302605.210420842
481027	76184	885556	303607.214428858
481027	76184	885556	304609.218436874
481027	76184	885556	305611.22244489
481027	76184	885556	306613.226452906
481027	76184	885556	307615.230460922
481027	76184	885556	308617.234468938
481027	76184	885556	309619.238476954
479985	71919.4	891860	310621.24248497
479985	71919.4	891860	311623.246492986
479985	71919.4	891860	312625.250501002
479985	71919.4	891860	313627.254509018
479985	71919.4	891860	314629.258517034
479985	71919.4	891860	315631.26252505
479985	71919.4	891860	316633.266533066
479985	71919.4	891860	317635.270541082
479985	71919.4	891860	318637.274549098
479985	71919.4	891860	319639.278557114
479166	68373.9	892661	320641.28256513
479166	68373.9	892661	321643.286573146
479166	68373.9	892661	322645.290581162
479166	68373.9	892661	323647.294589178
479166	68373.9	892661	324649.298597194
479166	68373.9	892661	325651.30260521
479166	68373.9	892661	326653.306613226
479166	68373.9	892661	327655.310621243
479166	68373.9	892661	328657.314629259
479166	68373.9	892661	329659.318637275
478974	64990.4	898613	330661.322645291
478974	64990.4	898613	331663.326653307
478974	64990.4	898613	332665.330661323
478974	64990.4	898613	333667.334669339
478974	64990.4	898613	334669.338677355
478974	64990.4	898613	335671.342685371
478974	64990.4	898613	336673.346693387
478974	64990.4	898613	337675.350701403
478974	64990.4	898613	338677.354709419
478974	64990.4	898613	339679.358717435
